artist,title,sale_year,price,low_estimate,high_estimate,auction_title
François Léon Prieur-Bardin,On the Bosphorus,2022.0,62830.65,39367.57,52490.1,The Orientalist Sale
Stefano Ussi,A Moroccan Guard,2022.0,7936.5,5249.01,7873.51,The Orientalist Sale
European School,The Musician,2022.0,4629.63,2624.5,3936.76,The Orientalist Sale
Alberto Pasini,The Yesil Mosque in Bursa,2022.0,99206.29,78735.15,104980.2,The Orientalist Sale
René Legrand,"Halt by an Inn, North Africa",2022.0,1653.44,2624.5,3936.76,The Orientalist Sale
Narcisse Berchère,Mahallet-el-Kebir (Lower Egypt),2022.0,31415.32,15747.03,23620.54,The Orientalist Sale
Maurice Bompard,"Man with a Pipe, Biskra",2022.0,9093.91,7873.51,10498.02,The Orientalist Sale
Georges Washington,A Mounted Warrior,2022.0,99206.29,15747.03,23620.54,The Orientalist Sale
George Henry Yewell,"In the Souk, Cairo",2022.0,16534.38,10498.02,15747.03,The Orientalist Sale
Adriano Cecchi,A North African Woman,2022.0,9093.91,7873.51,10498.02,The Orientalist Sale
Anna Richards Brewster,"Outside the Jaffa Gate, Jerusalem",2022.0,24801.57,19683.79,26245.05,The Orientalist Sale
Philippe Pavy,The Warrior,2022.0,11574.07,5249.01,7873.51,The Orientalist Sale
Pierre Jan van der Ouderaa,At Prayer,2022.0,124007.86,78735.15,104980.2,The Orientalist Sale
Joseph van Severdonck,A Young Tuareg,2022.0,16534.38,13122.52,19683.79,The Orientalist Sale
John Bagnold Burgess,"In the Alhambra, Warming her Hands",2022.0,57870.34,13122.52,19683.79,The Orientalist Sale
Rudolf Ernst,A Bashi-Bazouk,2022.0,69444.4,13122.52,19683.79,The Orientalist Sale
Richard Fuchs,Gate in Morocco,2022.0,82671.91,52490.1,78735.15,The Orientalist Sale
Ferdinand Roybet,An Algerian Beauty,2022.0,9093.91,7873.51,10498.02,The Orientalist Sale
"European School, 19th Century",Boy wearing a Fez,2022.0,3306.88,5249.01,7873.51,The Orientalist Sale
Virginia Santos Avellar,Portrait of a Young Man,2022.0,16534.38,13122.52,19683.79,The Orientalist Sale
Charles Théodore Frère,Arrival of a Caravan outside Cairo,2022.0,16534.38,7873.51,10498.02,The Orientalist Sale
Carl Neumann,View of Beirut,2022.0,107473.48,52490.1,78735.15,The Orientalist Sale
Gustave Boulanger,The Tribute,2022.0,140542.24,91857.67,131225.25,The Orientalist Sale
Henri Rousseau,The Hunt,2022.0,12400.79,3936.76,6561.26,The Orientalist Sale
Jules Jacques Veyrassat,Women of Blidah,2022.0,2314.81,1968.38,2624.5,The Orientalist Sale
Gustave Guillaumet,"A Man in Profile, Algeria",2022.0,90939.1,26245.05,39367.57,The Orientalist Sale
Charles Théodore Frère,The Halt of the Caravan,2022.0,14054.22,6561.26,9185.77,The Orientalist Sale
Rudolf Ernst,The Guard,2022.0,115740.67,52490.1,78735.15,The Orientalist Sale
Jean-Léon Gérôme,A Veiled Beauty,2022.0,363756.39,328063.12,459288.37,The Orientalist Sale
Hippolyte Lazerges,An Algerian Boy with Flowers,2022.0,2314.81,1968.38,2624.5,The Orientalist Sale
Jean-Joseph Benjamin-Constant,At Rest,2022.0,14880.94,13122.52,19683.79,The Orientalist Sale
Franz Kosler,Man in a Turban,2022.0,19841.26,15747.03,19683.79,The Orientalist Sale
Adam Styka,"Resting in the Sunshine, Bou-Saâda",2022.0,12400.79,7873.51,10498.02,The Orientalist Sale
Charles Wilda,"Man in a White Turban, Cairo",2022.0,21494.7,7873.51,10498.02,The Orientalist Sale
