artist,title,currency,sale_year,sold,price,low_estimate,high_estimate,auction_title
"French School, 18th Century, A white greyhound "," Ecole française du XVIIIe siècle, Lévrier blanc",USD,2022.0,0,0.0,5550.5,7770.7,ANIMALS
François Léon Prieur-Bardin,On the Bosphorus,USD,2022.0,1,62830.65,39367.57,52490.1,The Orientalist Sale
Stefano Ussi,A Moroccan Guard,USD,2022.0,1,7936.5,5249.01,7873.51,The Orientalist Sale
Ludwig Deutsch,Before the Mosque,USD,2022.0,0,0.0,262450.5,393675.75,The Orientalist Sale
Eugène Girardet,The Caravan,USD,2022.0,0,0.0,65612.62,91857.67,The Orientalist Sale
European School,The Musician,USD,2022.0,1,4629.63,2624.5,3936.76,The Orientalist Sale
Alberto Pasini,The Yesil Mosque in Bursa,USD,2022.0,1,99206.29,78735.15,104980.2,The Orientalist Sale
René Legrand,"Halt by an Inn, North Africa",USD,2022.0,1,1653.44,2624.5,3936.76,The Orientalist Sale
Narcisse Berchère,Mahallet-el-Kebir (Lower Egypt),USD,2022.0,1,31415.32,15747.03,23620.54,The Orientalist Sale
Maurice Bompard,"Man with a Pipe, Biskra",USD,2022.0,1,9093.91,7873.51,10498.02,The Orientalist Sale
Georges Washington,A Mounted Warrior,USD,2022.0,1,99206.29,15747.03,23620.54,The Orientalist Sale
George Henry Yewell,"In the Souk, Cairo",USD,2022.0,1,16534.38,10498.02,15747.03,The Orientalist Sale
Adriano Cecchi,A North African Woman,USD,2022.0,1,9093.91,7873.51,10498.02,The Orientalist Sale
William Simpson,Jerusalem from the Mount of Olives,USD,2022.0,0,0.0,104980.2,157470.3,The Orientalist Sale
Carlos Abascal,"The Beach, Tangier",USD,2022.0,0,0.0,19683.79,26245.05,The Orientalist Sale
Anna Richards Brewster,"Outside the Jaffa Gate, Jerusalem",USD,2022.0,1,24801.57,19683.79,26245.05,The Orientalist Sale
Philippe Pavy,The Warrior,USD,2022.0,1,11574.07,5249.01,7873.51,The Orientalist Sale
Pierre Jan van der Ouderaa,At Prayer,USD,2022.0,1,124007.86,78735.15,104980.2,The Orientalist Sale
Joseph van Severdonck,A Young Tuareg,USD,2022.0,1,16534.38,13122.52,19683.79,The Orientalist Sale
Frederick Arthur Bridgman,"Romeo, an Arabian Stallion in a Landscape",USD,2022.0,0,0.0,26245.05,39367.57,The Orientalist Sale
John Bagnold Burgess,"In the Alhambra, Warming her Hands",USD,2022.0,1,57870.34,13122.52,19683.79,The Orientalist Sale
Rudolf Ernst,A Bashi-Bazouk,USD,2022.0,1,69444.4,13122.52,19683.79,The Orientalist Sale
Richard Fuchs,Gate in Morocco,USD,2022.0,1,82671.91,52490.1,78735.15,The Orientalist Sale
Ferdinand Roybet,An Algerian Beauty,USD,2022.0,1,9093.91,7873.51,10498.02,The Orientalist Sale
"European School, 19th Century",Boy wearing a Fez,USD,2022.0,1,3306.88,5249.01,7873.51,The Orientalist Sale
Jean-Joseph Benjamin-Constant,Twilight,USD,2022.0,0,0.0,13122.52,19683.79,The Orientalist Sale
Félix Ziem,La Corne d'Or,USD,2022.0,0,0.0,52490.1,78735.15,The Orientalist Sale
Nils Forsberg,The Dance of the Almeh,USD,2022.0,0,0.0,78735.15,104980.2,The Orientalist Sale
Virginia Santos Avellar,Portrait of a Young Man,USD,2022.0,1,16534.38,13122.52,19683.79,The Orientalist Sale
Charles Théodore Frère,Arrival of a Caravan outside Cairo,USD,2022.0,1,16534.38,7873.51,10498.02,The Orientalist Sale
Carl Neumann,View of Beirut,USD,2022.0,1,107473.48,52490.1,78735.15,The Orientalist Sale
Gustave Boulanger,The Tribute,USD,2022.0,1,140542.24,91857.67,131225.25,The Orientalist Sale
Alberto Pasini,Watering the Horses,USD,2022.0,0,0.0,52490.1,78735.15,The Orientalist Sale
Henri Rousseau,The Hunt,USD,2022.0,1,12400.79,3936.76,6561.26,The Orientalist Sale
Jules Jacques Veyrassat,Women of Blidah,USD,2022.0,1,2314.81,1968.38,2624.5,The Orientalist Sale
Gustave Guillaumet,"A Man in Profile, Algeria",USD,2022.0,1,90939.1,26245.05,39367.57,The Orientalist Sale
Charles Théodore Frère,The Halt of the Caravan,USD,2022.0,1,14054.22,6561.26,9185.77,The Orientalist Sale
Rudolf Ernst,The Guard,USD,2022.0,1,115740.67,52490.1,78735.15,The Orientalist Sale
Jean Discart,"The Basket Weaver, Tangier",USD,2022.0,0,0.0,157470.3,236205.45,The Orientalist Sale
Jean-Léon Gérôme,A Veiled Beauty,USD,2022.0,1,363756.39,328063.12,459288.37,The Orientalist Sale
Hippolyte Lazerges,An Algerian Boy with Flowers,USD,2022.0,1,2314.81,1968.38,2624.5,The Orientalist Sale
Jean-Joseph Benjamin-Constant,At Rest,USD,2022.0,1,14880.94,13122.52,19683.79,The Orientalist Sale
Franz Kosler,Man in a Turban,USD,2022.0,1,19841.26,15747.03,19683.79,The Orientalist Sale
Adam Styka,"Resting in the Sunshine, Bou-Saâda",USD,2022.0,1,12400.79,7873.51,10498.02,The Orientalist Sale
Charles Wilda,"Man in a White Turban, Cairo",USD,2022.0,1,21494.7,7873.51,10498.02,The Orientalist Sale
Charles Théodore Frère,Sunset on the Nile,USD,2022.0,1,173611.01,78735.15,104980.2,The Orientalist Sale
Eugène Fromentin,The Charge,USD,2022.0,1,52910.02,39367.57,65612.62,The Orientalist Sale
Frederick Arthur Bridgman,On the Terrace,USD,2022.0,1,13227.51,10498.02,15747.03,The Orientalist Sale
Charles Louis Müller,Sultana Reading the Holy Qur'an,USD,2022.0,1,90939.1,39367.57,65612.62,The Orientalist Sale
Nelson Shanks,Gramercy Studio,USD,2022.0,1,44100.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,Luciano Pavarotti (A Sketch),USD,2022.0,1,20160.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
